Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum
44,9,55,86,0.13013846935293302,6.263099219620959,299,3,55,71,0.1917202843769149,6.4203121516165,299
45,12,37,71,0.002994100849694382,5.82180602006689,299,3,40,61,0.0035255906330755463,5.6237012263099215,299
46,19,41,88,0.6399211574387471,6.335250836120402,299,3,44,88,0.8146227961356015,6.711616499442586,299
47,7,43,89,0.06205337496888233,5.327045707915273,299,3,43,85,0.08088789053560799,5.3523745819398,299
48,4,72,94,0.2662721152325376,6.520802675585284,299,3,72,94,0.05543231970832546,6.51304347826087,299
49,6,69,105,0.28682014814364953,5.814648829431438,299,3,69,105,0.2326341832625628,5.83438127090301,299
50,27,21,117,0.08330319940036783,5.1288963210702345,299,3,38,117,0.02794294121454598,5.320468227424749,299
51,8,54,92,0.19175397147076612,5.7154069119286515,299,3,56,92,0.06685267658679697,5.602764771460424,299
52,16,10,80,0.3555795333739128,5.506176142697882,299,3,10,64,0.025884771647649678,6.31190635451505,299
53,4,77,124,0.06612946434652679,5.169453734671126,299,3,77,118,0.06612946434652679,5.2082497212932,299
54,4,29,49,0.056909679227877256,5.074247491638796,299,3,29,49,0.007603728430383782,5.061315496098104,299
55,4,60,77,0.14780955429520162,5.05752508361204,299,3,60,77,0.1334175674839665,5.044414715719063,299
56,17,31,101,0.07487420890403716,5.378216276477146,299,3,31,88,0.131124047923394,5.896900780379041,299
57,4,13,28,0.11651091044705225,5.932931995540692,299,3,13,28,0.10414263784679074,5.958573021181717,299
58,13,13,58,0.532617531728279,5.936633221850613,299,3,26,58,0.5153284321140624,6.052798216276477,299
59,10,66,94,0.25940832098680644,6.072107023411371,299,3,66,94,0.3885015263916922,6.048294314381271,299
60,11,9,44,0.20211844392547051,5.941872909698997,299,3,8,44,0.1582937152846985,5.998773690078038,299
61,5,24,33,0.22909159349117758,5.326622073578595,299,3,20,29,0.25564633538542636,5.3997547380156075,299
62,4,59,71,0.20173462863153957,5.994247491638796,299,3,59,71,0.1819065180884657,5.951950947603121,299
63,6,35,54,0.13136117279132203,5.518037904124861,299,3,35,54,0.11884839288426992,5.674671125975474,299
64,13,27,109,0.0063428936109778036,5.489208472686734,299,3,45,109,0.16115809151952332,5.423567447045708,299
65,10,14,20,0.2872080231030043,5.4396432552954295,299,3,13,18,0.2789672525681568,5.362497212931996,299
66,4,48,83,0.02816546292748803,5.7215384615384615,299,3,48,83,0.029544325698166923,5.684169453734671,299
67,15,42,51,0.2125026282908904,5.924838350055741,299,3,27,33,0.13404139872694015,5.820044593088071,299
