Case,N_mcn_A,N_mcn_B,N_mcn_AB,N_dd_pval,N_aspl,N_enum,Na_mcn_A,Na_mcn_B,Na_mcn_AB,Na_dd_pval,Na_aspl,Na_enum,Nb_mcn_A,Nb_mcn_B,Nb_mcn_AB,Nb_dd_pval,Nb_aspl,Nb_enum
19,168,7,186,0.03693694774549659,6.044325529542921,299,5,4,5,0.2634122476922094,5.350836120401338,299,5,4,5,0.2634122476922094,5.350836120401338,299
20,198,5,217,0.009012823674503652,5.416967670011148,299,5,3,5,0.06434201561528001,5.651259754738016,299,5,3,5,0.06434201561528001,5.651259754738016,299
21,23,4,25,0.1721437726505739,5.996365663322185,299,5,3,5,0.07808604233202984,5.346332218506132,299,5,3,5,0.07808604233202984,5.346332218506132,299
22,58,12,64,0.16179237374423328,6.19139353400223,299,5,3,5,0.4114104041155101,5.268695652173913,299,5,3,5,0.4114104041155101,5.268695652173913,299
23,38,21,171,0.15521336365338528,5.897369007803791,299,5,4,5,0.23037104518399998,5.576276477146043,299,5,4,5,0.23037104518399998,5.576276477146043,299
24,52,5,58,0.19350446083072026,5.406243032329989,299,5,3,5,0.05823143920157841,4.708115942028986,299,5,3,5,0.05823143920157841,4.708115942028986,299
25,145,3,195,0.2188165965645329,5.769476031215162,299,5,3,5,0.318529632299114,5.438104793756968,299,5,3,5,0.318529632299114,5.438104793756968,299
26,86,11,199,0.3523884249828385,5.823589743589744,299,5,4,5,0.21568126149721278,4.3188851727982165,299,5,4,5,0.21568126149721278,4.3188851727982165,299
27,94,12,139,0.006273179123515847,6.034202898550725,299,5,3,5,0.032423673845364216,5.004548494983277,299,5,3,5,0.032423673845364216,5.004548494983277,299
28,21,17,172,0.07425705652634519,5.225039018952063,299,5,4,5,0.0769156490529487,5.1006243032329985,299,5,4,5,0.0769156490529487,5.1006243032329985,299
29,175,18,186,0.1126949754011122,5.044526198439242,299,5,2,5,0.21844910528790284,4.389297658862876,299,5,2,5,0.21844910528790284,4.389297658862876,299
30,166,8,189,0.05366575135173719,5.006153846153846,299,5,3,5,0.25072523275687253,3.8856633221850614,299,5,3,5,0.25072523275687253,3.8856633221850614,299
31,165,4,181,0.11013186567986182,4.734113712374582,299,5,3,5,0.1751381111853798,4.4336677814938685,299,5,3,5,0.1751381111853798,4.4336677814938685,299
32,178,19,194,0.14470071044484203,5.562051282051282,299,5,3,5,0.07188191957220208,5.1358751393534,299,5,3,5,0.07188191957220208,5.1358751393534,299
33,154,10,192,0.013813055726832193,5.0369676700111485,299,5,3,5,0.1933015597319251,4.0090523968784835,299,5,3,5,0.1933015597319251,4.0090523968784835,299
34,132,3,148,0.38899911708237955,5.947558528428094,299,5,3,5,0.13152340355863545,5.229765886287625,299,5,3,5,0.13152340355863545,5.229765886287625,299
35,34,5,43,0.05687190045479178,6.792954292084727,299,5,3,5,0.08726145250396072,6.37736900780379,299,5,3,5,0.08726145250396072,6.37736900780379,299
36,145,6,167,0.07244945476523276,5.29340022296544,299,5,3,5,0.15705773651824306,4.917591973244147,299,5,3,5,0.15705773651824306,4.917591973244147,299
37,93,3,101,0.4187321484698301,5.67257525083612,299,5,3,5,0.21626900801817817,5.181560758082497,299,5,3,5,0.21626900801817817,5.181560758082497,299
38,117,13,146,0.029829828809561497,5.695005574136009,299,5,4,5,0.043339609357972014,4.627870680044593,299,5,4,5,0.043339609357972014,4.627870680044593,299
39,172,6,201,0.39821765939322196,6.228004459308807,299,5,4,5,0.23811319801186415,5.548428093645485,299,5,4,5,0.23811319801186415,5.548428093645485,299
40,192,5,207,0.10923168298892778,5.27901895206243,299,5,3,5,0.3398872957358946,4.3077146042363434,299,5,3,5,0.3398872957358946,4.3077146042363434,299
41,134,5,160,0.0986554635765809,5.48989966555184,299,5,2,5,0.1644894169162816,4.41835005574136,299,5,2,5,0.1644894169162816,4.41835005574136,299
42,71,5,78,0.21310340189195254,5.670657748049052,299,5,3,5,0.17984141716578006,4.612887402452619,299,5,3,5,0.17984141716578006,4.612887402452619,299
43,130,22,165,0.05712049727965628,5.2901226309921965,299,5,3,5,0.03129195113266831,5.799264214046823,299,5,3,5,0.03129195113266831,5.799264214046823,299
44,163,5,176,0.13013846935293302,6.263099219620959,299,5,3,5,0.180557730024281,5.839910813823857,299,5,3,5,0.180557730024281,5.839910813823857,299
45,65,17,214,0.002994100849694382,5.82180602006689,299,5,3,5,0.2045184373171588,4.299063545150502,299,5,3,5,0.2045184373171588,4.299063545150502,299
46,138,11,152,0.6399211574387471,6.335250836120402,299,5,3,5,0.19557440530641002,6.748472686733557,299,5,3,5,0.19557440530641002,6.748472686733557,299
47,67,8,79,0.06205337496888233,5.327045707915273,299,5,3,5,0.18995689615390343,4.162876254180602,299,5,3,5,0.18995689615390343,4.162876254180602,299
48,107,8,173,0.2662721152325376,6.520802675585284,299,5,4,5,0.10162311032211063,6.363232998885173,299,5,4,5,0.10162311032211063,6.363232998885173,299
49,65,10,126,0.28682014814364953,5.814648829431438,299,5,3,5,0.1370583394820108,5.103389074693423,299,5,3,5,0.1370583394820108,5.103389074693423,299
50,170,5,196,0.08330319940036783,5.1288963210702345,299,5,3,5,0.17212515610371693,4.311661092530658,299,5,3,5,0.17212515610371693,4.311661092530658,299
51,189,11,197,0.19175397147076612,5.7154069119286515,299,5,3,5,0.09773626686947165,5.161137123745819,299,5,3,5,0.09773626686947165,5.161137123745819,299
52,103,5,138,0.3555795333739128,5.506176142697882,299,5,2,5,0.16620785870368315,5.000356744704571,299,5,2,5,0.16620785870368315,5.000356744704571,299
53,24,37,211,0.06612946434652679,5.169453734671126,299,5,3,5,0.0963254438319566,5.2848829431438125,299,5,3,5,0.0963254438319566,5.2848829431438125,299
54,31,10,86,0.056909679227877256,5.074247491638796,299,5,3,5,0.21886961556147133,3.9663322185061314,299,5,3,5,0.21886961556147133,3.9663322185061314,299
55,48,4,52,0.14780955429520162,5.05752508361204,299,5,3,5,0.24895055311784098,4.219799331103679,299,5,3,5,0.24895055311784098,4.219799331103679,299
56,201,3,219,0.07487420890403716,5.378216276477146,299,5,3,5,0.09307993813635881,5.682430323299888,299,5,3,5,0.09307993813635881,5.682430323299888,299
57,34,7,37,0.11651091044705225,5.932931995540692,299,5,3,5,0.05785300389183213,4.775273132664437,299,5,3,5,0.05785300389183213,4.775273132664437,299
58,110,4,119,0.532617531728279,5.936633221850613,299,5,3,5,0.22640734341473723,5.171170568561873,299,5,3,5,0.22640734341473723,5.171170568561873,299
59,112,4,149,0.25940832098680644,6.072107023411371,299,5,3,5,0.18876994282323933,4.950969899665552,299,5,3,5,0.18876994282323933,4.950969899665552,299
60,112,6,135,0.20211844392547051,5.941872909698997,299,5,3,5,0.29116217561832103,5.563723522853958,299,5,3,5,0.29116217561832103,5.563723522853958,299
61,164,4,197,0.22909159349117758,5.326622073578595,299,5,3,5,0.28691151178056473,4.233132664437012,299,5,3,5,0.28691151178056473,4.233132664437012,299
62,59,4,65,0.20173462863153957,5.994247491638796,299,5,3,5,0.25433104869209044,4.61917502787068,299,5,3,5,0.25433104869209044,4.61917502787068,299
63,85,9,178,0.13136117279132203,5.518037904124861,299,5,3,5,0.33819762987943014,5.030769230769231,299,5,3,5,0.33819762987943014,5.030769230769231,299
64,41,3,44,0.0063428936109778036,5.489208472686734,299,5,3,5,0.1770426900899953,5.017748049052397,299,5,3,5,0.1770426900899953,5.017748049052397,299
65,193,5,212,0.2872080231030043,5.4396432552954295,299,5,3,5,0.18561971060131388,4.640133779264214,299,5,3,5,0.18561971060131388,4.640133779264214,299
66,34,10,52,0.02816546292748803,5.7215384615384615,299,5,2,5,0.05017010230915018,4.872709030100334,299,5,2,5,0.05017010230915018,4.872709030100334,299
67,88,10,162,0.2125026282908904,5.924838350055741,299,5,4,5,0.1891622134897052,5.457636566332218,299,5,4,5,0.1891622134897052,5.457636566332218,299
